English,Spanish
brother,hermano
also,también
pretty,bonito
bit,poco
took,tomó
haven,refugio
yet,todavía
men,hombres
whole,entero
start,comenzar
use,usar
while,mientras
since,desde
wife,esposa
days,días
guess,adivinar
tomorrow,mañana
matter,asunto
meet,encontrarse
bring,traer
tonight,esta noche
everyone,todos
run,correr
wanna,querer
hard,duro
ah,ahorcado
alone,solo
myself,mí mismo
school,escuela
gone,desaparecido
um,um
end,fin
saying,dicho
phone,teléfono
play,jugar
looks,aspecto
couldn,se pudo
fucking,maldito
problem,problema
few,pocos
friends,amigos
gotta,tengo que
ago,atrás
open,abierto
anyone,alguien
killed,delicado
hope,esperanza
face,rostro
until,hasta
lost,perdido
police,policía
excuse,disculpar
turn,doblar
business,negocio
case,caso
wants,quiere
says,dice
die,morir
heart,corazón
soon,pronto
each,cada
worry,preocuparse
later,más tarde
year,año
watch,mirar
music,música
hand,mano
having,teniendo
probably,probablemente
beautiful,hermoso
doctor,doctor
sit,sentarse
eat,comer
thinking,pensamiento
young,joven
second,segundo
working,laboral
water,agua
person,persona
part,parte
kids,niños
late,tarde
stuff,cosa
exactly,exactamente
under,bajo
death,muerte
minute,minuto
pay,pagar
crazy,loco
forget,olvidar
everybody,todos
kid,niño
change,cambiar
gave,dio
happen,suceder
damn,maldición
five,cinco
drink,beber
far,lejos
knows,saber